Altium Designer Pick and Place Locations
E:\COLLEGE\_TeamLambda\PCB_Altium\Lambda_V2\Project Outputs for Lambda_V2\Pick Place\Pick Place for Lambda_V2.csv

========================================================================================================================
File Design Information:

Date:       07-01-26
Time:       14:36
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"C19","100nF, 50V","TopLayer","CAPC1005X55N","1315.000","4425.000","90","Ceramic Capacitor, Multilayer, Ceramic, 50V, 10% +Tol, 10% -Tol, X7R, 15% TC, 0.1uF, Surface Mount, 0402"
"C18","22uF, 10V","TopLayer","CAP_1608_TDK-M","5019.000","2980.000","0","CAP CER 22UF 10V X5R 0603"
"C17","10uF, 25V","TopLayer","CAPC2012X95N","5660.000","2960.000","0","CAP CER 10UF 25V X5R 0805"
"C16","10uF, 10V","TopLayer","CAPC1005X55N","4130.000","3590.000","180","Ceramic Capacitor, Multilayer, Ceramic, 10V, 20% +Tol, 20% -Tol, X5R, 15% TC, 10uF, Surface Mount, 0402"
"C15","10uF, 10V","TopLayer","CAPC1005X55N","4130.000","3640.000","180","Ceramic Capacitor, Multilayer, Ceramic, 10V, 20% +Tol, 20% -Tol, X5R, 15% TC, 10uF, Surface Mount, 0402"
"C14","10uF, 25V","TopLayer","CAPC2012X95N","5650.000","4685.000","0","CAP CER 10UF 25V X5R 0805"
"C13","22uF, 10V","TopLayer","CAP_1608_TDK-M","5000.000","4885.000","0","CAP CER 22UF 10V X5R 0603"
"C12","22uF, 10V","TopLayer","CAP_1608_TDK-M","5000.000","4740.000","0","CAP CER 22UF 10V X5R 0603"
"C11","100nF, 25V","TopLayer","CAP_X7R_0805_AVX-M","810.000","7340.000","90","25V 100Nf X7R 10% 0805 Multilayer Ceramic Capacitors Mlcc Smd/Smt Rohs"
"C10","100nF, 25V","TopLayer","CAP_X7R_0805_AVX-M","3010.000","7070.000","270","25V 100Nf X7R 10% 0805 Multilayer Ceramic Capacitors Mlcc Smd/Smt Rohs"
"C9","100nF, 25V","TopLayer","CAP_X7R_0805_AVX-M","5410.000","5205.000","180","25V 100Nf X7R 10% 0805 Multilayer Ceramic Capacitors Mlcc Smd/Smt Rohs"
"C8","100nF, 50V","TopLayer","CAPC1005X55N","976.000","6175.000","0","Ceramic Capacitor, Multilayer, Ceramic, 50V, 10% +Tol, 10% -Tol, X7R, 15% TC, 0.1uF, Surface Mount, 0402"
"C7","100nF, 50V","TopLayer","CAPC1005X55N","976.000","6115.000","0","Ceramic Capacitor, Multilayer, Ceramic, 50V, 10% +Tol, 10% -Tol, X7R, 15% TC, 0.1uF, Surface Mount, 0402"
"C6","4.7uF, 16V","TopLayer","CAPC1005X55N","4260.000","3585.000","0","Ceramic Capacitor, Multilayer, Ceramic, 16V, 20% +Tol, 20% -Tol, X5R, 15% TC, 4.7uF, Surface Mount, 0402"
"C5","100nF, 25V","TopLayer","CAP_X7R_0805_AVX-M","5425.000","3460.000","180","25V 100Nf X7R 10% 0805 Multilayer Ceramic Capacitors Mlcc Smd/Smt Rohs"
"C4","100nF, 50V","TopLayer","CAPC1005X55N","1671.071","5248.000","0","Ceramic Capacitor, Multilayer, Ceramic, 50V, 10% +Tol, 10% -Tol, X7R, 15% TC, 0.1uF, Surface Mount, 0402"
"C3","1uF, 35V","TopLayer","CAPC1005X55N","1668.000","3929.000","0","Ceramic Capacitor, Multilayer, Ceramic, 35V, 10% +Tol, 10% -Tol, X5R, 15% TC, 1uF, Surface Mount, 0402"
"C2","10uF, 10V","TopLayer","CAPC1005X55N","1955.000","4180.000","270","Ceramic Capacitor, Multilayer, Ceramic, 10V, 20% +Tol, 20% -Tol, X5R, 15% TC, 10uF, Surface Mount, 0402"
"C1","100nF, 50V","TopLayer","CAPC1005X55N","1905.000","4180.000","270","Ceramic Capacitor, Multilayer, Ceramic, 50V, 10% +Tol, 10% -Tol, X7R, 15% TC, 0.1uF, Surface Mount, 0402"
"U24","IPD90P03P4L04ATMA2","TopLayer","TO228P998X235-3N-2-V","6110.000","1930.000","180","MOSFET P-CH 30V 90A TO252-31 P-Channel 30 V 90A (Tc) 137W (Tc) Surface Mount PG-TO252-3-11"
